DATE,FEDFUNDS,Inflation Rate
1974-11-01,9.45,12.200435729847497
1974-12-01,8.53,12.095032397408211
1975-01-01,7.13,11.752136752136753
1975-02-01,6.24,11.20507399577168
1975-03-01,5.54,10.460251046025105
1975-04-01,5.49,10.187110187110184
1975-05-01,5.22,9.25925925925926
1975-06-01,5.55,9.183673469387756
1975-07-01,6.1,9.533468559837734
1975-08-01,6.14,8.617234468937884
1975-09-01,6.24,7.905138339920949
1975-10-01,5.82,7.6470588235294095
1975-11-01,5.22,7.378640776699023
1975-12-01,5.2,7.129094412331412
1976-01-01,4.87,6.692160611854685
1976-02-01,4.77,6.273764258555127
1976-03-01,4.84,6.060606060606066
1976-04-01,4.82,5.849056603773588
1976-05-01,5.29,6.214689265536718
1976-06-01,5.48,5.981308411214958
1976-07-01,5.31,5.555555555555555
1976-08-01,5.29,5.719557195571944
1976-09-01,5.25,5.4945054945054945
1976-10-01,5.02,5.46448087431694
1976-11-01,4.95,5.063291139240515
1976-12-01,4.65,5.035971223021578
1977-01-01,4.61,5.197132616487465
1977-02-01,4.68,6.082289803220033
1977-03-01,4.69,6.428571428571431
1977-04-01,4.73,6.951871657754008
1977-05-01,5.35,6.737588652482278
1977-06-01,5.39,6.7019400352733625
1977-07-01,5.42,6.666666666666661
1977-08-01,5.9,6.631762652705069
1977-09-01,6.14,6.423611111111104
1977-10-01,6.47,6.390328151986188
1977-11-01,6.51,6.712564543889843
1977-12-01,6.56,6.6780821917808195
1978-01-01,6.7,6.814310051107325
1978-02-01,6.78,6.239460370994946
1978-03-01,6.79,6.375838926174492
1978-04-01,6.89,6.499999999999997
1978-05-01,7.36,7.142857142857138
1978-06-01,7.6,7.43801652892562
1978-07-01,7.81,7.730263157894742
1978-08-01,8.04,7.855973813420629
1978-09-01,8.45,8.48287112561175
1978-10-01,8.96,8.928571428571416
1978-11-01,9.76,8.870967741935484
1978-12-01,10.03,8.988764044943833
1979-01-01,10.07,9.25039872408293
1979-02-01,10.06,9.841269841269845
1979-03-01,10.09,10.25236593059938
1979-04-01,10.01,10.48513302034428
1979-05-01,10.24,10.69767441860466
1979-06-01,10.29,11.076923076923082
1979-07-01,10.47,11.450381679389313
1979-08-01,10.94,11.836115326251893
1979-09-01,11.43,11.879699248120309
1979-10-01,13.77,12.071535022354709
1979-11-01,13.18,12.592592592592592
1979-12-01,13.78,13.25478645066274
1980-01-01,13.82,13.86861313868613
1980-02-01,14.13,14.161849710982654
1980-03-01,17.19,14.592274678111568
1980-04-01,17.61,14.58923512747877
1980-05-01,10.98,14.425770308123246
1980-06-01,9.47,14.265927977839329
1980-07-01,9.03,13.150684931506843
1980-08-01,9.61,12.890094979647218
1980-09-01,10.87,12.768817204301076
1980-10-01,12.81,12.632978723404257
1980-11-01,15.85,12.631578947368412
1980-12-01,18.9,12.35370611183355
1981-01-01,19.08,11.7948717948718
1981-02-01,15.93,11.39240506329114
1981-03-01,14.7,10.611735330836455
1981-04-01,15.72,10.13597033374535
1981-05-01,18.52,9.791921664626683
1981-06-01,19.1,9.696969696969697
1981-07-01,19.04,10.774818401937052
1981-08-01,17.82,10.817307692307692
1981-09-01,15.87,10.965435041716315
1981-10-01,15.08,10.271546635183002
1981-11-01,13.31,9.579439252336453
1981-12-01,12.37,8.912037037037024
1982-01-01,13.22,8.256880733944957
1982-02-01,14.78,7.613636363636367
1982-03-01,14.68,6.884875846501139
1982-04-01,14.94,6.621773288439963
1982-05-01,14.45,6.911928651059089
1982-06-01,14.15,7.18232044198895
1982-07-01,12.59,6.557377049180328
1982-08-01,10.12,5.96529284164859
1982-09-01,10.31,4.940923737916228
1982-10-01,9.71,5.032119914346882
1982-11-01,9.2,4.477611940298511
1982-12-01,8.95,3.825717321997884
1983-01-01,8.68,3.7076271186440675
1983-02-01,8.51,3.4846884899683177
1983-03-01,8.77,3.590285110876443
